Rank,Company,Ticker,Executive,Title,Title Category,2010 base salary,Bonus,Non-equity incentive,Total cash compensation,Stock options GDFV,Stock awards GDFV,Total equity compensation,All other compensation,Change in pension NQDC,Total compensation,Footnotes
129,Comerica Inc.,CMA,Elizabeth S. Acton,Executive vice president and chief financial officer,CFO,"$981,416",,"$446,000","$1,427,416","$227,920","$372,020","$599,940","$15,115","$275,273","$2,317,744",
72,Comerica Inc.,CMA,Dale E. Greene,Executive vice president,Other,"$1,009,073",,"$522,000","$1,531,073","$277,200","$450,340","$727,540","$19,374","$1,142,136","$3,420,123",
112,Comerica Inc.,CMA,Mary Constance Beck,Executive vice president Comerica Inc. and Comerica Bank,Other,"$1,126,879",,"$495,000","$1,621,879","$258,720","$411,180","$669,900","$21,088","$358,665","$2,671,532",
159,Comerica Inc.,CMA,Curtis C. Farmer,Executive vice president,Other,"$937,042",,"$346,000","$1,283,042","$258,720","$411,180","$669,900","$30,952",,"$1,983,894",
137,Commercial Metals Co.,CMC,Murray R. McClean,"Chairman, president and chief executive",CEO,"$630,000",,,"$630,000",,"$1,576,800","$1,576,800","$9,894",,"$2,216,694",
231,Commercial Metals Co.,CMC,William B. Larson,Senior vice president and chief financial officer,CFO,"$351,000",,,"$351,000",,"$847,600","$847,600","$48,180",,"$1,246,780",
274,Commercial Metals Co.,CMC,Joseph  Alvarado,Executive vice president and chief operating officer,COO,"$165,385",,,"$165,385",,"$828,800","$828,800","$1,799",,"$995,984",
192,Commercial Metals Co.,CMC,Hanns K. Zoellner,Executive vice president and president ? international division,Division President/CEO,"$470,215",,,"$470,215",,"$847,600","$847,600","$263,986",,"$1,581,801",Annual base salary is set in Swiss francs at the rate of 1.024 Swiss francs to 1 U.S. dollar
244,Commercial Metals Co.,CMC,Tracy L. Porter,Senior vice president CMC and president ? CMC Americas Division,Division President/CEO,"$342,077",,,"$342,077",,"$797,800","$797,800","$9,894",,"$1,149,771",
314,CompX International Inc.,CIX,David A. Bowers,"Vice chairman, president and chief executive",CEO,"$379,860","$400,000",,"$779,860",,,$-,"$30,852",,"$810,712",
426,CompX International Inc.,CIX,Darryl R. Halbert,"Vice president, chief financial officer and controller",CFO,"$419,100",$-,,"$419,100",,,$-,,,"$419,100",
396,CompX International Inc.,CIX,Scott C. James,Vice president,Other,"$258,024","$206,500",,"$464,524",,,$-,"$29,141",,"$493,665",
434,CompX International Inc.,CIX,Corey J. Boland,Vice president,Other,"$199,274","$160,000",,"$359,274",,,$-,"$30,852",,"$390,126",Amounts converted from Canadian dollars using an exchange rate of $0.94 US dollar to $1 Canadian
21,Comstock Resources Inc.,CRK,M. Jay Allison,President and chief executive,CEO,"$550,000","$2,800,000",,"$3,350,000",,"$4,652,750","$4,652,750","$105,559","$105,558","$8,213,867",
74,Comstock Resources Inc.,CRK,Roland O. Burns,Senior vice president and chief financial officer,CFO,"$385,000","$975,000",,"$1,360,000",,"$1,886,250","$1,886,250","$37,108","$70,688","$3,354,046",
354,Comstock Resources Inc.,CRK,Mark A. Williams,Vice president of operations,COO,"$238,500","$195,000",,"$433,500",,"$188,625","$188,625","$7,350",,"$629,475",
198,Comstock Resources Inc.,CRK,Mack D. Good,Former chief operating officer,Former executive,"$332,000","$525,000",,"$857,000",,"$679,050","$679,050","$8,263","$12,368","$1,556,681",
320,Comstock Resources Inc.,CRK,D. Dale Gillette,Vice president of land and general counsel,General Counsel,"$300,000","$225,000",,"$525,000",,"$226,350","$226,350","$10,889","$12,424","$774,663",
350,Comstock Resources Inc.,CRK,Stephen E. Neukom,Vice president of marketing,Sales/Marketing executive,"$220,000","$205,000",,"$425,000",,"$206,230","$206,230","$8,086",,"$639,316",
435,Cornerworld Corp.,CWRL,Scott N. Beck,Chairman  and chief executive,CEO,"$250,000","$134,375",,"$384,375",,,$-,,,"$384,375",
49,D.R. Horton Inc.,DHI,Donald J. Tomnitz,"Vice chairman, chief executive and president",CEO,"$900,000",,"$1,989,755","$2,889,755",,"$1,153,000","$1,153,000","$100,050","$44,828","$4,187,633",
338,D.R. Horton Inc.,DHI,Bill W. Wheat,Executive vice president and chief financial officer,CFO,"$250,000","$400,000",,"$650,000",,,$-,"$34,375","$12,247","$696,622",
47,D.R. Horton Inc.,DHI,Donald R. Horton,Chairman,Non-CEO Chairman or Preisdent,"$1,000,000",,"$1,989,755","$2,989,755",,"$1,153,000","$1,153,000","$110,050","$61,718","$4,314,523",
340,D.R. Horton Inc.,DHI,Stacey H. Dwyer,Executive vice president and treasurer,Other,"$250,000","$400,000",,"$650,000",,,$-,"$32,350","$12,413","$694,763",
63,Darling International Inc.,DAR,Randall C. Stuewe,Chairman and chief executive,CEO,"$675,000",,"$1,188,041","$1,863,041","$299,678","$1,582,752","$1,882,430","$43,613","$22,410","$3,811,494",
213,Darling International Inc.,DAR,John O. Muse,Executive vice president ? finance and administration,CFO,"$342,700",,"$397,832","$740,532","$85,200","$449,998","$535,198","$49,473","$69,459","$1,394,662",
282,Darling International Inc.,DAR,Neil  Katchen,Executive vice president ? chief operations officer,COO,"$274,400",,"$320,259","$594,659","$48,728","$257,373","$306,101","$40,697","$3,246","$944,703",
298,Darling International Inc.,DAR,John F. Sterling,Executive vice president ? general counsel and secretary,General Counsel,"$263,200",,"$308,832","$572,032","$46,738","$246,860","$293,598","$25,399","$5,991","$897,020",
334,Darling International Inc.,DAR,Michael L. Rath,Executive vice president ? commodities and risk management,Other,"$229,500",,"$269,289","$498,789","$28,527","$150,678","$179,205","$29,805","$7,420","$715,219",
53,Dean Foods Co.,DF,Gregg L. Engles,Chairman and chief executive,CEO,"$1,100,000",,"$495,000","$1,595,000","$1,092,653","$1,096,164","$2,188,817","$290,509",,"$4,074,326",
321,Dean Foods Co.,DF,Shaun P. Mara,Executive vice president and chief financial officer,CFO,"$188,622","$50,000","$100,000","$338,622","$117,719","$224,999","$342,718","$90,685",,"$772,025","Promoted executive vice president and CFO on Aug. 20, 2010."
98,Dean Foods Co.,DF,Joseph E. Scalzo,President and chief operating officer,COO,"$833,077",,"$292,500","$1,125,577","$756,572","$780,108","$1,536,680","$137,727",,"$2,799,984","Promoted to president and COO on Aug. 20, 2010"
221,Dean Foods Co.,DF,Bernard P.J. Deryckere,"Chief executive, Alpro",Division President/CEO,"$548,878",,"$514,879","$1,063,757",,,$-,"$197,997","$77,057","$1,338,811","Amounts have been converted from Euros using the Dec. 31, 2010, conversion rate of $1.3253 for each Euro."
57,Dean Foods Co.,DF,Harrald F. Kroeker,"Former president, Fresh Dairy Direct",Former executive,"$512,417",,,"$512,417","$237,533","$238,304","$475,837","$2,953,887",,"$3,942,141",
117,Dean Foods Co.,DF,Paul  Moskowitz,Former executive vice president human resources,Former executive,"$392,033",,,"$392,033","$118,769","$119,144","$237,913","$1,953,835",,"$2,583,781",
245,Dean Foods Co.,DF,Jack F. Callahan Jr.,Former executive vice president and chief financial officer,Former executive,"$520,633",,,"$520,633","$285,040","$285,958","$570,998","$56,826",,"$1,148,457",
229,Dean Foods Co.,DF,Gregg A. Tanner,Executive vice president and chief supply chain officer,Other,"$562,250",,"$118,461","$680,711","$154,395","$374,489","$528,884","$53,448",,"$1,263,043",
61,Denbury Resources Inc.,DNR,Phil  Rykhoek,"Chief executive, director",CEO,"$495,000","$677,396","$810,000","$1,982,396","$599,761","$1,199,978","$1,799,739","$67,840",,"$3,849,975",
106,Denbury Resources Inc.,DNR,Mark C. Allen,"Senior vice president, chief financial officer, treasurer and assistant secretary",CFO,"$370,000","$504,303","$567,000","$1,441,303","$416,501","$833,329","$1,249,830","$46,518",,"$2,737,651",
62,Denbury Resources Inc.,DNR,Ronald T. Evans,President and chief operating officer,COO,"$495,000","$677,396","$810,000","$1,982,396","$599,761","$1,199,978","$1,799,739","$55,893",,"$3,838,028",
242,Denbury Resources Inc.,DNR,H. Raymond Dubuisson,Vice president ? legal and secretary,General Counsel,"$257,400","$263,889",,"$521,289","$199,915","$399,972","$599,887","$34,212",,"$1,155,388",
111,Denbury Resources Inc.,DNR,Robert  Cornelius,Senior vice president - operations and assistant secretary,Other,"$370,000","$469,615","$567,000","$1,406,615","$416,501","$833,329","$1,249,830","$46,518",,"$2,702,963",
123,DG FastChannel Inc.,DGIT,Scott K. Ginsburg,Chairman and chief executive,CEO,"$475,560","$1,865,040",,"$2,340,600",,,$-,"$32,519",,"$2,373,119",
181,DG FastChannel Inc.,DGIT,Neil H. Nguyen,President and chief operating officer,COO,"$394,077","$1,311,250",,"$1,705,327",,,$-,"$29,076",,"$1,734,403",
394,DG FastChannel Inc.,DGIT,Omar A. Choucair,Chief financial officer,CFO,"$344,847","$140,000",,"$484,847",,,$-,"$25,991",,"$510,838",
56,Diodes Inc.,DIOD,Keh-Shew  Lu,President and chief executive officer,CEO,"$397,000","$1,190,000",,"$1,587,000","$2,328,480",,"$2,328,480","$44,720",,"$3,960,200",
226,Diodes Inc.,DIOD,Richard D. White,"Chief financial officer, secretary and treasurer",CFO,"$202,000","$413,000",,"$615,000","$463,320","$150,384","$613,704","$40,697",,"$1,269,401",
296,Diodes Inc.,DIOD,Joseph  Liu,"Senior vice president, operations",COO,"$253,000","$310,000",,"$563,000","$201,960","$107,968","$309,928","$29,583",,"$902,511",
254,Diodes Inc.,DIOD,Edmund  Tang,"Vice president, corporate administration",Other,"$196,000","$372,000",,"$568,000","$332,640","$150,384","$483,024","$28,586",,"$1,079,610",
228,Diodes Inc.,DIOD,Mark  King,"Senior vice president, sales and marketing",Sales/Marketing executive,"$238,000","$371,000",,"$609,000","$463,320","$150,384","$613,704","$44,548",,"$1,267,252",
23,Dr Pepper Snapple Group Inc.,DPS,Larry D. Young,President and chief executive,CEO,"$976,923",,"$1,614,251","$2,591,174","$1,424,995","$3,324,983","$4,749,978","$278,551","$14,693","$7,634,396",
31,Dr Pepper Snapple Group Inc.,DPS,Martin M. Ellen,Chief financial officer,CFO,"$397,789",,"$459,715","$857,504","$1,518,745","$3,543,707","$5,062,452","$179,422",,"$6,099,378",
145,Dr Pepper Snapple Group Inc.,DPS,James J. Johnston,President beverage concentrates and Latin America beverages,Division President/CEO,"$515,385",,"$422,574","$937,959","$299,997","$699,993","$999,990","$139,581","$34,419","$2,111,949",
160,Dr Pepper Snapple Group Inc.,DPS,Rodger L. Collins,President packaged beverages,Division President/CEO,"$517,693",,"$347,153","$864,846","$299,997","$699,993","$999,990","$100,036",,"$1,964,872",
185,Dr Pepper Snapple Group Inc.,DPS,Derry L. Hobson,Executive vice president supply chain,Other,"$444,231",,"$329,838","$774,069","$239,995","$559,976","$799,971","$84,158",,"$1,658,198",
425,DRI Corp.,TBUS,David Turny,Chairman and chief executive,CEO,"$385,000",,,"$385,000","$15,205","$21,150","$36,355",,,"$421,355",
495,DRI Corp.,TBUS,Kathleen Oher,"Vice president, chief financial officer, secretary and treasurer",CFO,"$127,885",,,"$127,885","$44,196","$10,575","$54,771",,,"$182,656","Began employment in June 2010; deferred $12,500 of her 2010 salary to a subsequent year."
448,DRI Corp.,TBUS,Oliver Wels,"President, chief operating officer global operations",COO,"$309,706",,,"$309,706","$7,603","$10,575","$18,178",,,"$327,884",
474,DRI Corp.,TBUS,William Fay,"Vice president, general manager, Twin Vision na, Inc.",Other,"$245,577",,,"$245,577","$7,603","$10,575","$18,178",,,"$263,755","Deferred $6,163 of his 2010 salary into subsequent years."
483,DRI Corp.,TBUS,Lawrence Hagemann,"Vice president, chief technology officer and chief operating officer North Carolina",Other,"$235,000",,,"$235,000","$5,068","$7,050","$12,118",,,"$247,118","Deferred $11,750 of his 2010 salary into subsequent years."
488,DRI Corp.,TBUS,Stephen Slay,"Vice president, chief accounting officer",Other,"$228,125",,,"$228,125",,,$-,,,"$228,125","Resigned on June 15, 2010 but remained chief accounting officer throughout 2010."
232,Eagle Materials Inc.,EXP,Steven R. Rowley,President and chief executive,CEO,"$800,000","$68,366","$291,634","$1,160,000",,,$-,"$82,463",,"$1,242,463",
353,Eagle Materials Inc.,EXP,D. Craig Kesler,Executive vice president ? finance and administration and chief financial officer,CFO,"$220,433","$40,000","$79,106","$339,539",,"$277,100","$277,100","$14,371",,"$631,010",
302,Eagle Materials Inc.,EXP,Robert S. Stewart,"Executive vice president ? strategy, corporate development and communications",Other,"$212,020","$30,000","$63,795","$305,815","$302,700","$277,100","$579,800","$2,133",,"$887,748",
345,Eagle Materials Inc.,EXP,William R. Devlin,"Senior vice president, controller and chief accounting officer",Other,"$241,130","$118,750",,"$359,880",,"$277,100","$277,100","$16,343",,"$653,323",
361,Eagle Materials Inc.,EXP,Gerald J. Essl,Executive vice president ? cement/aggregates and concrete,Other,"$325,000",,"$264,120","$589,120",,,$-,"$20,401",,"$609,521",
256,Encore Wire Corp.,WIRE,Daniel L. Jones,"President and chief executive, director",CEO,"$550,000","$450,000",,"$1,000,000","$45,443",,"$45,443","$27,292",,"$1,072,735",
398,Encore Wire Corp.,WIRE,Frank J. Bilban,Vice president finance and chief financial officer,CFO,"$250,000","$200,000",,"$450,000","$15,148",,"$15,148","$27,781",,"$492,929",
146,Energy Transfer Equity L.P.,ETE,John W. McReynolds,President and chief financial officer,CFO,"$550,000","$550,000",,"$1,100,000",,"$995,500","$995,500","$8,462",,"$2,103,962",
166,Energy Transfer Partners LP,ETP,Martin  Salinas Jr.,Chief financial officer,CFO,"$356,058","$480,000",,"$836,058",,"$999,600","$999,600","$27,250","$7,648","$1,870,556",
3,Energy Transfer Partners LP,ETP,Marshall S. McCrea III,President and chief operating officer,COO,"$538,077","$729,500",,"$1,267,577",,"$13,455,000","$13,455,000","$12,250",,"$14,734,827",
219,Energy Transfer Partners LP,ETP,William G. Powers Jr.,President of propane operations,Division President/CEO,"$400,000","$425,000",,"$825,000",,"$499,800","$499,800","$20,004",,"$1,344,804",
161,Energy Transfer Partners LP,ETP,Thomas P. Mason,"Vice president, general counsel and secretary",General Counsel,"$427,513","$482,530",,"$910,043",,"$999,600","$999,600","$34,990",,"$1,944,633",
132,Ennis Inc.,EBF,Keith S. Walters,"Chairman, president and chief executive",CEO,"$838,000",,"$540,696","$1,378,696",,"$232,440","$232,440","$182,363","$486,487","$2,279,986",
337,Ennis Inc.,EBF,Richard L. Travis Jr.,"Vice president ? finance, chief financial officer",CFO,"$355,000",,"$152,703","$507,703","$23,745",,"$23,745","$74,188","$97,046","$702,682",
284,Ennis Inc.,EBF,Michael D. Magill,Executive vice president,Other,"$460,000",,"$197,868","$657,868","$31,660",,"$31,660","$88,494","$155,502","$933,524",
359,Ennis Inc.,EBF,Ronald M. Graham,Vice president -- administration,Other,"$268,000",,"$115,280","$383,280","$7,915","$17,880","$25,795","$59,679","$145,521","$614,275",
366,Ennis Inc.,EBF,Irshad  Ahmad,"Vice president -- apparrel division, chief technology officer",Other,"$325,000",,"$139,798","$464,798","$31,660",,"$31,660","$64,340","$35,798","$596,596",
24,ENSCO PLC,ESV,Daniel W. Rabun,"Chairman, president and chief executive",CEO,"$878,625",,"$1,196,007","$2,074,632","$558,014","$2,467,728","$3,025,742","$2,040,689",,"$7,141,063",
70,ENSCO PLC,ESV,James W. Swent III,Senior vice president ? chief financial officer,CFO,"$415,883",,"$339,667","$755,550","$203,342","$899,257","$1,102,599","$1,647,934",,"$3,506,083",
78,ENSCO PLC,ESV,William S. Chadwick Jr.,Executive vice president and chief operating officer,COO,"$550,605",,"$488,803","$1,039,408","$378,507","$1,673,955","$2,052,462","$185,721",,"$3,277,591",
80,ENSCO PLC,ESV,Patrick Carey Lowe,Senior vice president,Other,"$415,883",,"$295,362","$711,245","$203,342","$899,257","$1,102,599","$1,426,240",,"$3,240,084",
82,ENSCO PLC,ESV,John Mark Burns,Senior vice president,Other,"$415,883",,"$295,362","$711,245","$203,342","$899,257","$1,102,599","$1,390,145",,"$3,203,989",
121,Exco Resources Inc.,XCO,Douglas H. Miller,Chairman and chief executive,CEO,"$1,000,000","$400,000",,"$1,400,000","$1,000,619",,"$1,000,619","$22,000",,"$2,422,619",
170,Exco Resources Inc.,XCO,Stephen F. Smith,"Vice chairman, president and chief financial officer",CFO,"$750,000","$300,000",,"$1,050,000","$749,951",,"$749,951","$22,000",,"$1,821,951",
251,Exco Resources Inc.,XCO,Harold L. Hickey,Vice president and chief operating officer,COO,"$450,000","$190,000",,"$640,000","$449,971",,"$449,971","$22,000",,"$1,111,971",
235,Exco Resources Inc.,XCO,William L. Boeing,"Vice president, general counsel and secretary",General Counsel,"$500,000","$200,000",,"$700,000","$500,310",,"$500,310","$22,000",,"$1,222,310",
306,Exco Resources Inc.,XCO,Mark E. Wilson,"Vice president, chief accounting officer and controller",Other,"$350,000","$140,000",,"$490,000","$350,320",,"$350,320","$22,000",,"$862,320",
1,Exxon Mobil Corp.,XOM,Rex W. Tillerson,Chairman and chief executive,CEO,"$2,207,000","$3,360,000",,"$5,567,000",,"$15,465,375","$15,465,375","$443,921","$7,476,262","$28,952,558",
15,Exxon Mobil Corp.,XOM,H R. Cramer,"Vice president; president, ExxonMobil Fuels Marketing Co.",Division President/CEO,"$911,250","$1,500,000",,"$2,411,250",,"$5,292,595","$5,292,595","$102,957","$1,377,443","$9,184,245",
17,Exxon Mobil Corp.,XOM,S. D. Pryor,"Vice president; president, ExxonMobil Chemical Co.",Division President/CEO,"$955,000","$1,500,000",,"$2,455,000",,"$5,292,595","$5,292,595","$106,927","$952,086","$8,806,608",
4,Exxon Mobil Corp.,XOM,D D. Humphreys,Senior vice president and treasurer,Other,"$1,085,000","$2,144,000",,"$3,229,000",,"$7,904,525","$7,904,525","$124,445","$2,305,873","$13,563,843",
9,Exxon Mobil Corp.,XOM,M. J. Dolan,Senior vice president,Other,"$920,000","$1,592,000",,"$2,512,000",,"$5,773,740","$5,773,740","$98,597","$3,173,100","$11,557,437",
64,FelCor Lodging Trust Inc.,FCH,Richard A. Smith,President and chief executive,CEO,"$658,333",,"$3,066,667","$3,725,000",,,$-,"$35,537",,"$3,760,537",
214,FelCor Lodging Trust Inc.,FCH,Andrew J. Welch,Executive vice president and chief financial officer,CFO,"$354,167",,"$984,376","$1,338,543",,,$-,"$35,537",,"$1,374,080",
208,FelCor Lodging Trust Inc.,FCH,Troy A. Pentecost,Executive vice president and chief operating officer,COO,"$367,013",,"$1,045,702","$1,412,715",,,$-,"$35,537",,"$1,448,252",
215,FelCor Lodging Trust Inc.,FCH,Jonathan H. Yellen,Executive vice president and general counsel and secretary,General Counsel,"$354,167",,"$984,376","$1,338,543",,,$-,"$35,537",,"$1,374,080",
211,FelCor Lodging Trust Inc.,FCH,Michael A. DeNicola,Executive vice president and chief investment officer,Other,"$354,167","$25,000","$984,376","$1,363,543",,,$-,"$35,537",,"$1,399,080",
79,First Cash Financial Services Inc.,FCFS,Rick L. Wessel,Chief executive and president,CEO,"$850,000",,"$1,487,500","$2,337,500",,"$855,000","$855,000","$70,354",,"$3,262,854",
241,First Cash Financial Services Inc.,FCFS,R. Douglas Orr,Executive vice president and chief financial officer,CFO,"$400,000",,"$500,000","$900,000",,"$285,000","$285,000",,,"$1,185,000",
234,First Cash Financial Services Inc.,FCFS,Stephen O. Coffman,Chief operating officer,COO,"$420,000",,"$525,000","$945,000",,"$285,000","$285,000",,,"$1,230,000",
308,First Cash Financial Services Inc.,FCFS,Phillip E. Powell,Former chairman,Former executive,,,,$-,,,$-,"$834,664",,"$834,664","Served as a director through Oct. 19, 2010; continues to serve as a consultant"
460,First Cash Financial Services Inc.,FCFS,John C. Powell,"Senior vice president, information technology",Other,"$240,000","$50,000",,"$290,000",,,$-,,,"$290,000",
40,Flowserve Corp.,FLS,Mark A. Blinn,President and chief executive,CEO,"$910,346",,"$846,853","$1,757,199",,"$2,807,066","$2,807,066","$61,203","$252,748","$4,878,216",
230,Flowserve Corp.,FLS,Richard J. Guiltinan Jr.,Senior vice president finance and chief accounting officer,CFO,"$373,284",,"$172,848","$546,132",,"$559,878","$559,878","$34,278","$108,531","$1,248,819",
85,Flowserve Corp.,FLS,Thomas E. Ferguson,Senior vice president and president of Flow Solutions Group,Division President/CEO,"$494,917",,"$323,050","$817,967",,"$1,935,915","$1,935,915","$56,747","$269,784","$3,080,413",
120,Flowserve Corp.,FLS,Thomas L. Pajonas,Senior vice president and president of flow control division,Division President/CEO,"$477,407",,"$265,439","$742,846",,"$1,523,892","$1,523,892","$49,768","$159,183","$2,475,689",
197,Flowserve Corp.,FLS,Ronald F. Shuff,"Senior vice president, secretary and general counsel",General Counsel,"$416,230",,"$192,719","$608,949",,"$686,047","$686,047","$41,067","$228,406","$1,564,469",
12,Fluor Corp.,FLR,Alan L. Boeckmann,Chairman and chief executive,CEO,"$1,248,042",,"$704,760","$1,952,802","$3,550,004","$3,550,088","$7,100,092","$292,939","$524,738","$9,870,571",
59,Fluor Corp.,FLR,D. Michael Steuert,Senior vice president and chief financial officer,CFO,"$791,835",,"$410,180","$1,202,015","$1,000,041","$1,375,101","$2,375,142","$147,882","$131,965","$3,857,004",
58,Fluor Corp.,FLR,David T. Seaton,Chief operating officer,COO,"$695,216",,"$343,000","$1,038,216","$1,350,001","$1,350,088","$2,700,089","$147,889","$13,563","$3,899,757",
134,Fluor Corp.,FLR,Peter W. Oosterveer,"Group president, energy and chemicals",Division President/CEO,"$403,673","$693,001","$204,700","$1,301,374","$400,016","$400,012","$800,028","$120,313","$38,153","$2,259,868",
88,Fluor Corp.,FLR,Carlos M. Hernandez,Senior vice president and chief legal officer,General Counsel,"$502,236","$1,021,738","$231,400","$1,755,374","$600,025","$600,082","$1,200,107","$78,021","$8,809","$3,042,311",
116,Fossil Inc.,FOSL,Michael W. Barnes,President and chief operating officer,COO,"$655,558","$100,000",,"$755,558","$738,581","$1,075,022","$1,813,603",$364,"$16,696","$2,586,221",
182,Fossil Inc.,FOSL,Jennifer  Pritchard,"President, retail division",Division President/CEO,"$511,042","$39,000","$390,000","$940,042","$313,657","$436,551","$750,208",$364,,"$1,690,614",
141,Fossil Inc.,FOSL,Mark D. Quick,Vice chairman,Other,"$568,161","$43,125","$431,250","$1,042,536","$495,457","$638,163","$1,133,620","$4,929",,"$2,181,085",
189,Fossil Inc.,FOSL,Livio  Galanti,Executive vice president,Other,"$482,027","$37,500","$375,000","$894,527","$301,599","$404,299","$705,898","$1,449",,"$1,601,874",
240,Fossil Inc.,FOSL,Mike L. Kovar,"Executive vice president, chief financial officer and treasurer",CFO,"$356,008","$27,000","$270,000","$653,008","$217,150","$305,509","$522,659","$5,361","$5,123","$1,186,151",
411,Frozen Food Express Industries Inc.,FFEX,S. Russell Stubbs,"President, chief executive",CEO,"$291,344","$3,029",,"$294,373",,"$125,216","$125,216","$21,207",,"$440,796","Replaced the CEO on Feb. 28, 2011."
467,Frozen Food Express Industries Inc.,FFEX,John R. McManama,Senior vice president/chief financial officer,CFO,"$207,633","$2,163",,"$209,796",,"$58,695","$58,695","$6,829",,"$275,320","Elected SVP and CFO and Treasurer on May 19, 2010 ."
431,Frozen Food Express Industries Inc.,FFEX,John T. Hickerson,"Executive vice president, chief operating officer",COO,"$278,248","$2,885",,"$281,133",,"$86,839","$86,839","$31,479",,"$399,451",
421,Frozen Food Express Industries Inc.,FFEX,Stoney M. Stubbs Jr.,"Chairman, chief executive",Non-CEO Chairman or Preisdent,"$408,766","$3,930",,"$412,696",,,$-,"$12,462",,"$425,158","Retired as CEO on Feb. 28, but remains chairman"
